CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;87
RefMandelCalculator;512;1536;1024;100;87
RefMandelCalculator;512;1536;1024;100;90
LineMandelCalculator;512;1536;1024;100;5
LineMandelCalculator;512;1536;1024;100;5
LineMandelCalculator;512;1536;1024;100;5
RefMandelCalculator;1024;3072;2048;100;361
RefMandelCalculator;1024;3072;2048;100;351
RefMandelCalculator;1024;3072;2048;100;351
BatchMandelCalculator;512;1536;1024;100;5
BatchMandelCalculator;512;1536;1024;100;5
BatchMandelCalculator;512;1536;1024;100;5
LineMandelCalculator;1024;3072;2048;100;21
LineMandelCalculator;1024;3072;2048;100;21
LineMandelCalculator;1024;3072;2048;100;21
RefMandelCalculator;2048;6144;4096;100;1401
RefMandelCalculator;2048;6144;4096;100;1402
RefMandelCalculator;2048;6144;4096;100;1402
BatchMandelCalculator;1024;3072;2048;100;22
BatchMandelCalculator;1024;3072;2048;100;22
BatchMandelCalculator;1024;3072;2048;100;22
LineMandelCalculator;2048;6144;4096;100;84
LineMandelCalculator;2048;6144;4096;100;84
RefMandelCalculator;4096;12288;8192;100;5574
RefMandelCalculator;4096;12288;8192;100;5579
LineMandelCalculator;2048;6144;4096;100;84
RefMandelCalculator;4096;12288;8192;100;5615
BatchMandelCalculator;2048;6144;4096;100;88
BatchMandelCalculator;2048;6144;4096;100;88
BatchMandelCalculator;2048;6144;4096;100;89
LineMandelCalculator;4096;12288;8192;100;331
LineMandelCalculator;4096;12288;8192;100;333
RefMandelCalculator;512;1536;1024;1000;745
RefMandelCalculator;512;1536;1024;1000;745
LineMandelCalculator;4096;12288;8192;100;333
RefMandelCalculator;512;1536;1024;1000;745
BatchMandelCalculator;4096;12288;8192;100;352
BatchMandelCalculator;4096;12288;8192;100;352
BatchMandelCalculator;4096;12288;8192;100;356
LineMandelCalculator;512;1536;1024;1000;39
LineMandelCalculator;512;1536;1024;1000;39
RefMandelCalculator;1024;3072;2048;1000;2980
RefMandelCalculator;1024;3072;2048;1000;2980
LineMandelCalculator;512;1536;1024;1000;39
RefMandelCalculator;1024;3072;2048;1000;2980
BatchMandelCalculator;512;1536;1024;1000;39
BatchMandelCalculator;512;1536;1024;1000;39
BatchMandelCalculator;512;1536;1024;1000;40
LineMandelCalculator;1024;3072;2048;1000;150
LineMandelCalculator;1024;3072;2048;1000;150
RefMandelCalculator;2048;6144;4096;1000;11919
RefMandelCalculator;2048;6144;4096;1000;11924
LineMandelCalculator;1024;3072;2048;1000;151
RefMandelCalculator;2048;6144;4096;1000;11920
BatchMandelCalculator;1024;3072;2048;1000;152
BatchMandelCalculator;1024;3072;2048;1000;152
BatchMandelCalculator;1024;3072;2048;1000;151
LineMandelCalculator;2048;6144;4096;1000;587
LineMandelCalculator;2048;6144;4096;1000;587
RefMandelCalculator;4096;12288;8192;1000;47678
RefMandelCalculator;4096;12288;8192;1000;47666
RefMandelCalculator;4096;12288;8192;1000;47680
LineMandelCalculator;2048;6144;4096;1000;588
BatchMandelCalculator;2048;6144;4096;1000;594
BatchMandelCalculator;2048;6144;4096;1000;594
BatchMandelCalculator;2048;6144;4096;1000;593
LineMandelCalculator;4096;12288;8192;1000;2317
LineMandelCalculator;4096;12288;8192;1000;2316
LineMandelCalculator;4096;12288;8192;1000;2317
BatchMandelCalculator;4096;12288;8192;1000;2345
BatchMandelCalculator;4096;12288;8192;1000;2341
BatchMandelCalculator;4096;12288;8192;1000;2347
